"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"07.01.2023","155,900","154,700","156,100","153,600","59,19K","0,78%"
"06.01.2023","154,700","156,200","159,000","152,700","87,44K","-0,90%"
"05.01.2023","156,100","150,900","156,100","150,700","82,15K","3,45%"
"04.01.2023","150,900","148,400","152,700","148,300","89,50K","1,68%"
"03.01.2023","148,400","147,800","149,100","147,400","60,73K","0,41%"
"02.01.2023","147,800","148,500","149,800","147,800","50,48K","-0,54%"
"01.01.2023","148,600","147,200","149,100","146,400","37,31K","0,88%"
"31.12.2022","147,300","145,900","148,500","145,300","55,68K","0,96%"
"30.12.2022","145,900","145,500","146,500","144,200","63,50K","0,21%"
"29.12.2022","145,600","146,800","146,900","144,800","76,37K","-0,82%"
"28.12.2022","146,800","145,500","147,000","143,700","64,58K","0,82%"
"27.12.2022","145,600","146,700","147,300","143,800","90,58K","-0,75%"
"26.12.2022","146,700","145,100","147,400","144,300","64,13K","1,10%"
"25.12.2022","145,100","143,300","145,600","143,100","38,48K","1,26%"
"24.12.2022","143,300","143,000","144,100","141,800","40,50K","0,14%"
"23.12.2022","143,100","145,400","146,600","139,700","74,81K","-1,51%"
"22.12.2022","145,300","147,200","147,800","143,600","59,80K","-1,29%"
"21.12.2022","147,200","146,800","148,700","146,400","58,79K","0,27%"
"20.12.2022","146,800","144,100","147,500","143,700","48,28K","2,09%"
"19.12.2022","143,800","144,000","145,700","143,100","43,03K","-0,14%"
"18.12.2022","144,000","143,300","145,900","142,800","39,87K","0,42%"
"17.12.2022","143,400","142,000","144,200","138,500","48,82K","0,91%"
"16.12.2022","142,100","149,100","149,500","140,400","78,29K","-4,69%"
"15.12.2022","149,100","148,800","149,800","146,600","72,43K","0,27%"
"14.12.2022","148,700","151,600","152,400","146,600","120,53K","-1,85%"
"13.12.2022","151,500","150,500","153,000","148,300","84,42K","0,66%"
"12.12.2022","150,500","150,800","152,100","148,000","111,73K","-0,13%"
"11.12.2022","150,700","149,700","152,200","149,200","48,78K","0,67%"
"10.12.2022","149,700","149,200","150,900","148,400","39,92K","0,34%"
"09.12.2022","149,200","147,600","149,400","146,300","74,75K","1,15%"
"08.12.2022","147,500","144,200","148,700","143,000","78,63K","2,50%"
"07.12.2022","143,900","143,400","144,300","141,100","63,30K","0,28%"
"06.12.2022","143,500","145,100","146,000","142,000","79,09K","-1,10%"
"05.12.2022","145,100","142,300","146,000","141,400","87,30K","2,04%"
"04.12.2022","142,200","145,300","147,400","142,200","98,75K","-2,13%"
"03.12.2022","145,300","145,600","148,300","143,600","93,65K","-0,14%"
"02.12.2022","145,500","144,400","146,500","143,000","73,34K","0,69%"
"01.12.2022","144,500","142,100","144,900","141,300","105,36K","1,62%"
"30.11.2022","142,200","137,400","142,700","137,400","93,55K","3,57%"
"29.11.2022","137,300","134,800","140,000","134,200","106,22K","1,78%"
